,order_id,assignment_id,user_id,assistment_id,problem_id,original,correct,attempt_count,ms_first_response,tutor_mode,answer_type,sequence_id,student_class_id,position,type,base_sequence_id,skill_id,skill_name,teacher_id,school_id,hint_count,hint_total,overlap_time,template_id,answer_id,answer_text,first_action,bottom_hint,opportunity,opportunity_original
410221,28933731,265366,79015,57384,107717,1,1,1,95157,tutor,algebra,5970,12351,63,MasterySection,5970,311.0,Equation Solving Two or Fewer Steps,42999,2770,0,0,95157,55901,,-0.666666667,0,,42,33.0
507501,32654033,276939,88014,34575,54054,0,0,5,17368,tutor,algebra,9862,13214,2,MasterySection,5962,,,60029,5448,3,3,79816,30677,,-1.5,0,1.0,18,
166220,31085208,273549,87518,47562,86163,1,1,1,7330,tutor,algebra,7196,13038,5,MasterySection,6896,65.0,Least Common Multiple,59452,4780,0,5,7330,29957,,10,0,,2,2.0
7722,33761716,279154,79762,37076,58575,1,1,1,61645,tutor,algebra,5916,12437,60,MasterySection,5916,2.0,Circle Graph,43007,2770,0,0,61645,30790,,45,0,,10,10.0
122092,32642076,271502,88001,46666,84954,1,0,2,12359,tutor,algebra,6849,12925,13,MasterySection,6849,47.0,Conversion of Fraction Decimals Percents,57560,5260,2,2,29312,29946,,82.84,0,1.0,14,14.0
401524,36281975,283338,92171,32940,51024,1,0,0,7776,tutor,algebra,5945,13878,3,MasterySection,5942,310.0,Order of Operations All,64767,5282,0,0,7776,30078,,,2,,15,9.0
244172,33040251,278358,89252,46522,84730,1,0,2,6845,tutor,algebra,6854,13286,1,MasterySection,6854,85.0,Absolute Value,59882,5260,0,3,10261,29914,,-2,0,,4,4.0
394123,38243428,290875,96285,43095,77326,0,1,1,33010,tutor,algebra,6273,14414,117,MasterySection,6273,308.0,Volume Sphere,69274,2770,0,0,33010,31680,,4.5,0,,4,
501779,34901376,271482,84798,41627,73177,0,1,1,10553,tutor,algebra,6072,12924,18,MasterySection,6072,,,57560,5260,0,2,10553,32880,,40,0,,17,
147029,29446752,270574,71907,43658,78956,1,1,1,62858,tutor,choose_1,6402,11816,148,MasterySection,6402,51.0,Ordering Integers,22763,73,0,1,62858,42863,135111.0,,0,,7,7.0
167305,21301395,263256,78280,48276,86883,1,1,1,144204,tutor,algebra,7357,12315,9,MasterySection,7357,67.0,Multiplication Fractions,45778,5056,0,3,144204,46274,,Aug-45,0,,1,1.0
183196,35119710,281003,78561,47138,85654,1,1,1,123093,tutor,algebra,7201,12262,25,MasterySection,7201,70.0,Percent Of,46174,5056,0,4,123093,46397,,34.56,0,,476,476.0
166889,28536031,270564,70730,34627,54142,1,1,1,3891,tutor,algebra,5964,11816,138,MasterySection,5964,67.0,Multiplication Fractions,22763,73,0,4,3891,30682,,-4,0,,4,4.0
147375,25139715,267304,78782,43700,78998,1,1,1,71986,tutor,choose_1,8712,12574,15,MasterySection,6402,51.0,Ordering Integers,11804,76,0,2,71986,42864,135279.0,,0,,2,2.0
223698,31788138,274950,79768,48691,87322,1,1,1,30529,tutor,choose_1,7480,12437,31,MasterySection,7195,79.0,Proportion,43007,2770,0,5,30529,34871,151658.0,,0,,1,1.0
220138,30580720,270589,71831,48115,86720,1,0,2,35069,tutor,algebra,6912,11816,163,MasterySection,6912,79.0,Proportion,22763,73,3,3,47517,46362,,17,0,1.0,8,8.0
72033,38144244,290661,96291,74283,137966,1,0,1,58046,tutor,algebra,9881,14413,36,MasterySection,9881,17.0,Probability of Two Distinct Events,69274,2770,0,0,58060,30003,,49/196,0,,6,6.0
242588,29444318,270948,85724,63109,120293,1,0,2,5125,tutor,algebra,9142,12873,16,MasterySection,8657,85.0,Absolute Value,45671,5049,0,2,7485,63038,,3,0,,10,10.0
133019,21356121,262768,78969,39414,66337,1,1,1,9503,tutor,choose_1,6040,12351,19,MasterySection,6040,49.0,Ordering Positive Decimals,42999,2770,0,4,9503,29893,104939.0,,0,,1,1.0
264827,32659654,276941,88128,49814,88510,1,0,2,8335,tutor,algebra,9861,13214,4,MasterySection,9861,276.0,Multiplication and Division Positive Decimals,60029,5448,0,4,11615,46300,,0.001,0,,11,11.0
261382,33606839,279136,79619,53347,93307,1,0,2,12434,tutor,choose_1,7115,12436,43,MasterySection,7115,105.0,,43007,2770,0,2,15945,52629,163229.0,,0,,2,2.0
297257,36395555,285866,77899,99288,189360,1,1,1,4274,tutor,algebra,11899,14033,6,MasterySection,11899,279.0,Multiplication and Division Integers,48183,139,0,0,4274,29924,,-2,0,,216,216.0
459409,35446097,220670,70363,36496,56839,0,1,1,24375,tutor,choose_1,5922,11816,18,MasterySection,5922,,,22763,73,0,2,24375,36483,84589.0,,0,,81,
128075,22134678,263982,78814,36835,57686,1,0,0,259660,tutor,algebra,7711,12340,15,MasterySection,5916,48.0,Equivalent Fractions,11804,76,0,0,259660,30397,,,2,,6,6.0
215377,30204078,271870,79064,78388,148026,1,1,1,15733,tutor,algebra,9870,12886,19,MasterySection,9870,77.0,Finding Percents,42999,2770,0,2,15733,78169,,33,0,,15,15.0
